,sentence,score,magnitude
2814,Yes!!,0.30000001192092896,0.30000001192092896
2815,"Macri #RickyRenuncio capitán del espacio #todosConAlberto  tal Rizzo https://t.co/vxsTTE0cy9
@christophervele Gracias 💖 #RickyRenuncio 🇵🇷
RT @CarlosMariani7: @DanielHabif creo que usted está confundido por la emoción, es lo que quiero pensar.",0.699999988079071,0.699999988079071
2816,De dónde saco que el pueblo quiere…,-0.30000001192092896,0.30000001192092896
2817,Orgullosa de ser Boricua!,0.10000000149011612,0.10000000149011612
2818,De aquí como el Coquí!,0.20000000298023224,0.20000000298023224
2819,"🇵🇷❤️
Cuando caiga Maduro 🙌🏻
RT @YeseniaTorresFi: Marcha “Somos más”.",0.5,0.5
2820,"#RickyRenuncio #PuertoRico #yeseniatorresfigueroa https://t.co/278bJkDQnf
RT @GabrielMangual: ""Me da pena Rick-...""",-0.30000001192092896,0.30000001192092896
2821,"#RickyRenunció #RickySeFue https://t.co/dtOnATUFag
Mi admiracion total para el pueblo de Puerto Rico que ante un gobierno corrupto, misogino y homofobo se puso de pie…",-0.6000000238418579,0.6000000238418579
2822,"https://t.co/GXt6z96TBA
RT @TelenoticiasPR: Marcha #SomosMas #RickyRenuncio https://t.co/OIfAvyv3Hz
RT @FabianWilkins: Se acabó lo que se daba, a sacar la tarjeta electoral todo el mundo que no la tenga y a buscar la gente que realmente ne…",-0.4000000059604645,0.4000000059604645
2823,RT @AniUcar: “It feels cabrón!”,0.4000000059604645,0.4000000059604645
2824,"- Alejandra Rodríguez, 21.",0.0,0.0
2825,"#RickyRenuncio @vicenews https://t.co/OVPic29zF0
The latest The Musicos PuertoRico Daily!",0.20000000298023224,0.20000000298023224
2826,"https://t.co/fYB8Aacifs Thanks to @protoolsexpert @PUERTORICOISLA @mfuentesbc #rickyrenunció #ad
Se te fue la guagua...",-0.10000000149011612,0.10000000149011612
2827,"#puñeta #pr #WandaRenuncia #RickyRenuncio
So @trschatz51 dijo que PNP a ganar las elecciones el año que vienen después de todo lo que pasó.",-0.30000001192092896,0.30000001192092896
2828,"#RickyRenunció https://t.co/M53VoXUEfJ
Blog: https://t.co/8A2jm611Q5  #thursdaymorning #ThursdayMotivation #motivation #success #inspire #ThursdayThoughts…",0.800000011920929,0.800000011920929
2829,"https://t.co/wFOOQ9yFpQ
YEP
pues aquí en el trabajo llorando mientras veo videos de Puerto Rico celebrando porque puñeta que cosa más cabrona h…",0.0,0.0
2830,"https://t.co/OdOHVPDACg
this is justice!",0.20000000298023224,0.20000000298023224
2831,this is power!,0.20000000298023224,0.20000000298023224
2832,"pa que tu lo sepa 🇵🇷🇵🇷 wepaaaaaaaa
Literal tears seeing images from Puerto Rico.",-0.4000000059604645,0.4000000059604645
2833,This is a huge moment for a island held down by a lot for so long.,0.10000000149011612,0.10000000149011612
2834,Re…,0.30000001192092896,0.30000001192092896
